"Time","Democratic","Independent","Republican"
"101","11.122257459064139","-1","18.86567443383101"
"102","12.327647064079995","0.0","16.662905500705218"
"103","11.941228951012928","0.0","13.104663759789153"
"104","16.300391101057006","0.0","8.672131202454686"
"105","13.450517698049602","0.441696113074205","9.327723183825201"
"106","10.895445241590341","16.52372784448256","9.344225078674203"
"107","9.930361906298693","23.58859698155394","5.7143540212297985"
"108","7.768405883100919","0.0","5.749942432627299"
"109","8.330860438412016","0.0","7.751368524678191"
"110","3.58946851908867","-1","9.264943434337718"
"111","3.8226060239975537","7.142857142857142","7.009421265141319"
"112","9.826706463297203","-1","7.833233456039723"
"113","7.8721405318010005","-1","6.612721141991355"
"114","4.927328782206562","-1","6.164926087689553"
"115","5.16769212752349","-1","5.1427530290607635"
